what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1473883075551
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1473883075552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883075658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883077558
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1473883081203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883083433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883087149
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1473883094420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883094688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883096091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883106737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883115470
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1473883115538
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1473883115645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883124403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883128605
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1473883137018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1473883140533
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1473883141420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883143617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883144836
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1473883144847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883145125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883145149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883145989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883147985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883153717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883157396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883165672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883229135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883231060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883232005
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1473883232130
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473883232189
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1473883232436
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1473883232551
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1473883232551
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1473883232551
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1473883232551
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1473883232552
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1473883232552
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1473883232552
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1473883232552
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1473883232552
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1473883232552
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1473883232553
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1473883232553
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1473883232554
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1473883232554
