what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882393725
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1473882393735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882394008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882394855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882394882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882396886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882402657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882406371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882413352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882420610
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1473882422191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1473882426801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882428238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882429842
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1473882429853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882430130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882430461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882431000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882432970
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1473882433858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882438752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882442450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882452990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882464448
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1473882464466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882465477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882466775
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1473882466958
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473882467042
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1473882467203
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1473882467204
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1473882467204
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1473882467204
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1473882467204
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1473882467204
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1473882467204
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1473882467204
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1473882467205
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1473882467205
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1473882467206
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1473882467207
