what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1473879867395
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1473879867395
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1473879867395
java.specification.name,sysinfo,,,"Java Platform API Specification",1473879867396
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1473879867396
java.specification.version,sysinfo,,,"1.6",1473879867396
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1473879867396
java.version,sysinfo,,,"1.6.0_23",1473879867396
java.vm.info,sysinfo,,,"mixed mode",1473879867396
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1473879867396
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1473879867396
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1473879867396
java.vm.specification.version,sysinfo,,,"1.0",1473879867396
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1473879867396
java.vm.version,sysinfo,,,"19.0-b09",1473879867396
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1473879869442
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1473879869472
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1473879872340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1473879872345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473879874236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473879895278
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1473879895872
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1473879899404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473879918232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473879920112
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1473879920124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473879920411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473879921144
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1473879921443
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1473879921447
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1473879921447
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1473879921448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473879921546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473879923384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473879929325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473879933016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473879934088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473879942155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473879943183
